k,fort_isoles,fort_complet,fort_anneau,med_isoles,med_complet,med_anneau,faible_isoles,faible_complet,faible_anneau,fort_gain_isoles,fort_gain_complet,fort_gain_anneau,med_gain_isoles,med_gain_complet,med_gain_anneau,faible_gain_isoles,faible_gain_complet,faible_gain_anneau
78,0.0209893051,0.0039296660,0.0039354952,0.0178029978,0.0019329441,0.0020312444,0.0174653979,0.0016305206,0.0017301038,7.403032,1.386013,1.388069,27.555365,2.991798,3.143947,58.217993,5.435069,5.767013
79,0.0211902935,0.0039241440,0.0039286981,0.0179929464,0.0019307826,0.0020277362,0.0176554404,0.0016288788,0.0017271157,7.473922,1.384065,1.385671,27.849366,2.988453,3.138517,58.851468,5.429596,5.757052
80,0.0213905888,0.0039186116,0.0039219245,0.0181822400,0.0019286011,0.0020242401,0.0178448276,0.0016272153,0.0017241379,7.544567,1.382114,1.383282,28.142354,2.985076,3.133106,59.482759,5.424051,5.747126
81,0.0215901946,0.0039130698,0.0039151742,0.0183708819,0.0019264007,0.0020207561,0.0180335628,0.0016255311,0.0017211704,7.614969,1.380159,1.380901,28.434332,2.981671,3.127713,60.111876,5.418437,5.737235
82,0.0217891145,0.0039075196,0.0039084471,0.0185588757,0.0019241823,0.0020172840,0.0182216495,0.0016238273,0.0017182131,7.685129,1.378202,1.378529,28.725308,2.978237,3.122339,60.738832,5.412758,5.727377
83,0.0219873520,0.0039019603,0.0039017431,0.0187462245,0.0019219470,0.0020138238,0.0184090909,0.0016221049,0.0017152659,7.755048,1.376241,1.376164,29.015285,2.974777,3.116983,61.363636,5.407016,5.717553
84,0.0221849106,0.0038963964,0.0038950620,0.0189329317,0.0019196956,0.0020103755,0.0185958904,0.0016203646,0.0017123288,7.824728,1.374278,1.373808,29.304269,2.971292,3.111646,61.986301,5.401215,5.707763
85,0.0223817938,0.0038908268,0.0038884038,0.0191190006,0.0019174290,0.0020069389,0.0187820513,0.0016186074,0.0017094017,7.894170,1.372314,1.371459,29.592266,2.967784,3.106327,62.606838,5.395358,5.698006
86,0.0225780050,0.0038852525,0.0038817683,0.0193044344,0.0019151481,0.0020035141,0.0189675768,0.0016168342,0.0017064846,7.963375,1.370348,1.369119,29.879279,2.964254,3.101026,63.225256,5.389447,5.688282
87,0.0227735477,0.0038796742,0.0038751554,0.0194892365,0.0019128536,0.0020001010,0.0191524702,0.0016150457,0.0017035775,8.032344,1.368380,1.366787,30.165314,2.960702,3.095743,63.841567,5.383486,5.678592
88,0.0229684253,0.0038740927,0.0038685650,0.0196734099,0.0019105462,0.0019966994,0.0193367347,0.0016132427,0.0017006803,8.101078,1.366412,1.364462,30.450377,2.957131,3.090478,64.455782,5.377476,5.668934
89,0.0231626412,0.0038685087,0.0038619970,0.0198569580,0.0019082267,0.0019933095,0.0195203735,0.0016114260,0.0016977929,8.169579,1.364442,1.362146,30.734471,2.953541,3.085232,65.067912,5.371420,5.659310
