fichier,n,m,alpha,k,type_cible,page_cible,rank_initial,pagerank_initial,type_attaque,pagerank_apres,augmentation,ratio,iterations
Harvard500.txt,500,2636,0.850000,53,faible,494,500,0.000300000000000,complet,0.001659851227504,0.001359851227504,5.532837,99
Harvard500.txt,500,2636,0.850000,53,faible,494,500,0.000300000000000,anneau,0.001808178669979,0.001508178669979,6.027262,101
Harvard500.txt,500,2636,0.850000,54,forte,7,1,0.103639770584333,isoles,0.116274688532005,0.012634917947672,1.121912,93
Harvard500.txt,500,2636,0.850000,54,forte,7,1,0.103639770584333,complet,0.096078144825555,-0.007561625758778,0.927039,99
Harvard500.txt,500,2636,0.850000,54,forte,7,1,0.103639770584333,anneau,0.090116593521481,-0.013523177062852,0.869517,111
Harvard500.txt,500,2636,0.850000,54,moyenne,14,251,0.000646080989108,isoles,0.013038511007626,0.012392430018519,20.180923,93
Harvard500.txt,500,2636,0.850000,54,moyenne,14,251,0.000646080989108,complet,0.001974770998919,0.001328690009811,3.056538,99
Harvard500.txt,500,2636,0.850000,54,moyenne,14,251,0.000646080989108,anneau,0.002119096314075,0.001473015324967,3.279924,102
Harvard500.txt,500,2636,0.850000,54,faible,494,500,0.000300000000000,isoles,0.012698555956679,0.012398555956679,42.328520,93
Harvard500.txt,500,2636,0.850000,54,faible,494,500,0.000300000000000,complet,0.001659338889137,0.001359338889137,5.531130,99
Harvard500.txt,500,2636,0.850000,54,faible,494,500,0.000300000000000,anneau,0.001804935710873,0.001504935710873,6.016452,101
Harvard500.txt,500,2636,0.850000,55,forte,7,1,0.103639770584333,isoles,0.116485481290574,0.012845710706241,1.123946,93
Harvard500.txt,500,2636,0.850000,55,forte,7,1,0.103639770584333,complet,0.095909417473330,-0.007730353111002,0.925411,99
Harvard500.txt,500,2636,0.850000,55,forte,7,1,0.103639770584333,anneau,0.089954029467021,-0.013685741117312,0.867949,111
Harvard500.txt,500,2636,0.850000,55,moyenne,14,251,0.000646080989108,isoles,0.013245258255183,0.012599177266075,20.500926,93
Harvard500.txt,500,2636,0.850000,55,moyenne,14,251,0.000646080989108,complet,0.001973615751312,0.001327534762204,3.054750,99
Harvard500.txt,500,2636,0.850000,55,moyenne,14,251,0.000646080989108,anneau,0.002115299742076,0.001469218752968,3.274047,102
Harvard500.txt,500,2636,0.850000,55,faible,494,500,0.000300000000000,isoles,0.012905405405405,0.012605405405405,43.018018,93
Harvard500.txt,500,2636,0.850000,55,faible,494,500,0.000300000000000,complet,0.001658746661615,0.001358746661615,5.529156,99
Harvard500.txt,500,2636,0.850000,55,faible,494,500,0.000300000000000,anneau,0.001801701308559,0.001501701308559,6.005671,101
Harvard500.txt,500,2636,0.850000,56,forte,7,1,0.103639770584333,isoles,0.116695515801809,0.013055745217477,1.125972,93
Harvard500.txt,500,2636,0.850000,56,forte,7,1,0.103639770584333,complet,0.095741155047534,-0.007898615536799,0.923788,99
Harvard500.txt,500,2636,0.850000,56,forte,7,1,0.103639770584333,anneau,0.089792078895437,-0.013847691688895,0.866386,111
Harvard500.txt,500,2636,0.850000,56,moyenne,14,251,0.000646080989108,isoles,0.013451261807604,0.012805180818496,20.819777,93
Harvard500.txt,500,2636,0.850000,56,moyenne,14,251,0.000646080989108,complet,0.001972386867599,0.001326305878491,3.052848,99
Harvard500.txt,500,2636,0.850000,56,moyenne,14,251,0.000646080989108,anneau,0.002111513589710,0.001465432600603,3.268187,102
Harvard500.txt,500,2636,0.850000,56,faible,494,500,0.000300000000000,isoles,0.013111510791367,0.012811510791367,43.705036,93
Harvard500.txt,500,2636,0.850000,56,faible,494,500,0.000300000000000,complet,0.001658078945161,0.001358078945161,5.526930,99
Harvard500.txt,500,2636,0.850000,56,faible,494,500,0.000300000000000,anneau,0.001798475885454,0.001498475885454,5.994920,101
Harvard500.txt,500,2636,0.850000,57,forte,7,1,0.103639770584333,isoles,0.116904796149630,0.013265025565297,1.127992,93
Harvard500.txt,500,2636,0.850000,57,forte,7,1,0.103639770584333,complet,0.095573361830052,-0.008066408754280,0.922169,99
Harvard500.txt,500,2636,0.850000,57,forte,7,1,0.103639770584333,anneau,0.089630734202443,-0.014009036381890,0.864830,111
Harvard500.txt,500,2636,0.850000,57,moyenne,14,251,0.000646080989108,isoles,0.013656525670429,0.013010444681321,21.137483,93
Harvard500.txt,500,2636,0.850000,57,moyenne,14,251,0.000646080989108,complet,0.001971088461767,0.001325007472659,3.050838,99
Harvard500.txt,500,2636,0.850000,57,moyenne,14,251,0.000646080989108,anneau,0.002107738285551,0.001461657296443,3.262344,102
Harvard500.txt,500,2636,0.850000,57,faible,494,500,0.000300000000000,isoles,0.013316876122083,0.013016876122083,44.389587,93
Harvard500.txt,500,2636,0.850000,57,faible,494,500,0.000300000000000,complet,0.001657339855502,0.001357339855502,5.524466,99
