fichier,n,m,alpha,k,type_cible,page_cible,rank_initial,pagerank_initial,type_attaque,pagerank_apres,augmentation,ratio,iterations,temps_sec
data/Harvard500.txt,500,2636,0.500000,23,faible,494,500,0.001000000000000,complet,0.001872211601453,0.000872211601453,1.872212,24,0.0010
data/Harvard500.txt,500,2636,0.500000,23,faible,494,500,0.001000000000000,anneau,0.001912045832118,0.000912045832118,1.912046,25,0.0000
data/Harvard500.txt,500,2636,0.500000,25,forte,7,1,0.056366027506781,isoles,0.067116666015029,0.010750638508247,1.190729,23,0.0010
data/Harvard500.txt,500,2636,0.500000,25,forte,7,1,0.056366027506781,complet,0.054715372111985,-0.001650655394797,0.970715,24,0.0000
data/Harvard500.txt,500,2636,0.500000,25,forte,7,1,0.056366027506781,anneau,0.054176489778805,-0.002189537727976,0.961155,26,0.0000
data/Harvard500.txt,500,2636,0.500000,25,moyenne,162,251,0.001250000000000,isoles,0.013095238095238,0.011845238095238,10.476190,24,0.0010
data/Harvard500.txt,500,2636,0.500000,25,moyenne,162,251,0.001250000000000,complet,0.002106227107047,0.000856227107047,1.684982,25,0.0000
data/Harvard500.txt,500,2636,0.500000,25,moyenne,162,251,0.001250000000000,anneau,0.002142857142857,0.000892857142857,1.714286,25,0.0010
data/Harvard500.txt,500,2636,0.500000,25,faible,494,500,0.001000000000000,isoles,0.012857142857143,0.011857142857143,12.857143,23,0.0000
data/Harvard500.txt,500,2636,0.500000,25,faible,494,500,0.001000000000000,complet,0.001868131869839,0.000868131869839,1.868132,24,0.0010
data/Harvard500.txt,500,2636,0.500000,25,faible,494,500,0.001000000000000,anneau,0.001904761904762,0.000904761904762,1.904762,25,0.0000
data/Harvard500.txt,500,2636,0.500000,27,forte,7,1,0.056366027506781,isoles,0.067932653757839,0.011566626251058,1.205206,23,0.0000
data/Harvard500.txt,500,2636,0.500000,27,forte,7,1,0.056366027506781,complet,0.054510665123950,-0.001855362382832,0.967084,24,0.0000
data/Harvard500.txt,500,2636,0.500000,27,forte,7,1,0.056366027506781,anneau,0.053970886363903,-0.002395141142878,0.957507,26,0.0010
data/Harvard500.txt,500,2636,0.500000,27,moyenne,162,251,0.001250000000000,isoles,0.013994307400380,0.012744307400380,11.195446,24,0.0000
data/Harvard500.txt,500,2636,0.500000,27,moyenne,162,251,0.001250000000000,complet,0.002100840336951,0.000850840336951,1.680672,25,0.0010
data/Harvard500.txt,500,2636,0.500000,27,moyenne,162,251,0.001250000000000,anneau,0.002134724857685,0.000884724857685,1.707780,25,0.0000
data/Harvard500.txt,500,2636,0.500000,27,faible,494,500,0.001000000000000,isoles,0.013757115749526,0.012757115749526,13.757116,23,0.0000
data/Harvard500.txt,500,2636,0.500000,27,faible,494,500,0.001000000000000,complet,0.001863648686976,0.000863648686976,1.863649,24,0.0000
data/Harvard500.txt,500,2636,0.500000,27,faible,494,500,0.001000000000000,anneau,0.001897533206831,0.000897533206831,1.897533,25,0.0000
data/Harvard500.txt,500,2636,0.500000,29,forte,7,1,0.056366027506781,isoles,0.068742471461007,0.012376443954226,1.219573,23,0.0000
data/Harvard500.txt,500,2636,0.500000,29,forte,7,1,0.056366027506781,complet,0.054307115301223,-0.002058912205558,0.963472,25,0.0000
data/Harvard500.txt,500,2636,0.500000,29,forte,7,1,0.056366027506781,anneau,0.053766837644191,-0.002599189862590,0.953887,26,0.0000
data/Harvard500.txt,500,2636,0.500000,29,moyenne,162,251,0.001250000000000,isoles,0.014886578449905,0.013636578449905,11.909263,24,0.0000
data/Harvard500.txt,500,2636,0.500000,29,moyenne,162,251,0.001250000000000,complet,0.002095148078944,0.000845148078944,1.676118,25,0.0010
data/Harvard500.txt,500,2636,0.500000,29,moyenne,162,251,0.001250000000000,anneau,0.002126654064272,0.000876654064272,1.701323,25,0.0000
data/Harvard500.txt,500,2636,0.500000,29,faible,494,500,0.001000000000000,isoles,0.014650283553875,0.013650283553875,14.650284,23,0.0000
data/Harvard500.txt,500,2636,0.500000,29,faible,494,500,0.001000000000000,complet,0.001858853182914,0.000858853182914,1.858853,25,0.0000
data/Harvard500.txt,500,2636,0.500000,29,faible,494,500,0.001000000000000,anneau,0.001890359168242,0.000890359168242,1.890359,25,0.0000
data/Harvard500.txt,500,2636,0.500000,31,forte,7,1,0.056366027506781,isoles,0.069546188842493,0.013180161335712,1.233832,23,0.0020
data/Harvard500.txt,500,2636,0.500000,31,forte,7,1,0.056366027506781,complet,0.054104782549101,-0.002261244957680,0.959883,25,0.0000
data/Harvard500.txt,500,2636,0.500000,31,forte,7,1,0.056366027506781,anneau,0.053564326014646,-0.002801701492135,0.950295,26,0.0000
data/Harvard500.txt,500,2636,0.500000,31,moyenne,162,251,0.001250000000000,isoles,0.015772128060264,0.014522128060264,12.617702,24,0.0010
data/Harvard500.txt,500,2636,0.500000,31,moyenne,162,251,0.001250000000000,complet,0.002089218456542,0.000839218456542,1.671375,25,0.0000
data/Harvard500.txt,500,2636,0.500000,31,moyenne,162,251,0.001250000000000,anneau,0.002118644067797,0.000868644067797,1.694915,25,0.0010
data/Harvard500.txt,500,2636,0.500000,31,faible,494,500,0.001000000000000,isoles,0.015536723163842,0.014536723163842,15.536723,23,0.0000
data/Harvard500.txt,500,2636,0.500000,31,faible,494,500,0.001000000000000,complet,0.001853813560120,0.000853813560120,1.853814,25,0.0010
data/Harvard500.txt,500,2636,0.500000,31,faible,494,500,0.001000000000000,anneau,0.001883239171375,0.000883239171375,1.883239,25,0.0000
data/Harvard500.txt,500,2636,0.500000,33,forte,7,1,0.056366027506781,isoles,0.070343874573837,0.013977847067056,1.247984,23,0.0000
data/Harvard500.txt,500,2636,0.500000,33,forte,7,1,0.056366027506781,complet,0.053903708769343,-0.002462318737438,0.956316,25,0.0000
data/Harvard500.txt,500,2636,0.500000,33,forte,7,1,0.056366027506781,anneau,0.053363334172190,-0.003002693334591,0.946729,26,0.0000
data/Harvard500.txt,500,2636,0.500000,33,moyenne,162,251,0.001250000000000,isoles,0.016651031894934,0.015401031894934,13.320826,24,0.0000
data/Harvard500.txt,500,2636,0.500000,33,moyenne,162,251,0.001250000000000,complet,0.002083103411005,0.000833103411005,1.666483,25,0.0010
data/Harvard500.txt,500,2636,0.500000,33,moyenne,162,251,0.001250000000000,anneau,0.002110694183865,0.000860694183865,1.688555,25,0.0000
data/Harvard500.txt,500,2636,0.500000,33,faible,494,500,0.001000000000000,isoles,0.016416510318949,0.015416510318949,16.416510,23,0.0000
data/Harvard500.txt,500,2636,0.500000,33,faible,494,500,0.001000000000000,complet,0.001848581835020,0.000848581835020,1.848582,25,0.0010
data/Harvard500.txt,500,2636,0.500000,33,faible,494,500,0.001000000000000,anneau,0.001876172607880,0.000876172607880,1.876173,25,0.0000
data/Harvard500.txt,500,2636,0.500000,35,forte,7,1,0.056366027506781,isoles,0.071135596299713,0.014769568792932,1.262030,23,0.0000
data/Harvard500.txt,500,2636,0.500000,35,forte,7,1,0.056366027506781,complet,0.053703922926353,-0.002662104580428,0.952771,25,0.0010
data/Harvard500.txt,500,2636,0.500000,35,forte,7,1,0.056366027506781,anneau,0.053163845072481,-0.003202182434301,0.943189,26,0.0000
